"";BBK01.SU0202;BBK01.SU0202_FLAGS
"";Zinssatz der EZB für Hauptrefinanzierungsgeschäfte / Stand am Monatsende;
BBK_DECIMALS;2;
BBK_GRAPHPOS;E;
Dimension;Eins;
Einheit;% p.a.;
TIME_FORMAT;P1M;
Stand vom;02.11.2022 09:22:44 Uhr;
2014-05;0,25;
2014-06;0,15;Bemerkung
2014-07;0,15;
2014-08;0,15;
2014-09;0,05;Bemerkung
2014-10;0,05;
2014-11;0,05;
2014-12;0,05;
2015-01;0,05;
2015-02;0,05;
2015-03;0,05;
2015-04;0,05;
2015-05;0,05;
2015-06;0,05;
2015-07;0,05;
2015-08;0,05;
2015-09;0,05;
2015-10;0,05;
2015-11;0,05;
2015-12;0,05;
2016-01;0,05;
2016-02;0,05;
2016-03;0,00;Bemerkung
2016-04;0,00;
2016-05;0,00;
2016-06;0,00;
2016-07;0,00;
2016-08;0,00;
2016-09;0,00;
2016-10;0,00;
2016-11;0,00;
2016-12;0,00;
2017-01;0,00;
2017-02;0,00;
2017-03;0,00;
2017-04;0,00;
2017-05;0,00;
2017-06;0,00;
2017-07;0,00;
2017-08;0,00;
2017-09;0,00;
2017-10;0,00;
2017-11;0,00;
2017-12;0,00;
2018-01;0,00;
2018-02;0,00;
2018-03;0,00;
2018-04;0,00;
2018-05;0,00;
2018-06;0,00;
2018-07;0,00;
2018-08;0,00;
2018-09;0,00;
2018-10;0,00;
2018-11;0,00;
2018-12;0,00;
2019-01;0,00;
2019-02;0,00;
2019-03;0,00;
2019-04;0,00;
2019-05;0,00;
2019-06;0,00;
2019-07;0,00;
2019-08;0,00;
2019-09;0,00;
2019-10;0,00;
2019-11;0,00;
2019-12;0,00;
2020-01;0,00;
2020-02;0,00;
2020-03;0,00;
2020-04;0,00;
2020-05;0,00;
2020-06;0,00;
2020-07;0,00;
2020-08;0,00;
2020-09;0,00;
2020-10;0,00;
2020-11;0,00;
2020-12;0,00;
2021-01;0,00;
2021-02;0,00;
2021-03;0,00;
2021-04;0,00;
2021-05;0,00;
2021-06;0,00;
2021-07;0,00;
2021-08;0,00;
2021-09;0,00;
2021-10;0,00;
2021-11;0,00;
2021-12;0,00;
2022-01;0,00;
2022-02;0,00;
2022-03;0,00;
2022-04;0,00;
2022-05;0,00;
2022-06;0,00;
2022-07;0,50;Bemerkung
2022-08;0,50;
2022-09;1,25;Bemerkung
2022-10;1,25;
2022-11;2,00;
"";"Bemerkung zu 1999-01: Festsatz am 7. Jan. 1999 3,00 % (Beschluss des EZB-Rates vom 22. Dez. 1998); Festsatz am 13. und 20. Jan. 1999 3,00 % (Beschluss des EZB-Rates vom 7. Jan. 1999); Festsatz am 27. Jan. und 3. Febr. 1999 3,00 % (Beschluss des EZB-Rates vom 21. Jan. 1999)";
"";"Bemerkung zu 1999-02: Festsatz am 10. und 17. Febr. 1999 3,00 % (Beschluss des EZB-Rates vom 4. Febr. 1999); Festsatz am 24. Febr. und 3. März 1999 3,00 % (Beschluss des EZB-Rates vom 18. Febr. 1999)";
"";"Bemerkung zu 1999-03: Festsatz am 10. und 17. März 1999 3,00 % (Beschluss des EZB-Rates vom 4. März 1999); Festsatz am 24. und 31. März, 7. April 1999 3,00 % (Beschluss des EZB-Rates vom 18. März 1999)";
"";Bemerkung zu 1999-04: Festsatz ab 14. April 1999 2,50 % (Beschluss des EZB-Rates vom 8. April 1999);
"";Bemerkung zu 1999-11: Festsatz ab 10. Nov. 1999 3,00 % (Beschluss des EZB-Rates vom 4. Nov. 1999);
"";Bemerkung zu 2000-02: Festsatz ab 9. Febr. 2000 3,25 % (Beschluss des EZB-Rates vom 3. Febr. 2000);
"";Bemerkung zu 2000-03: Festsatz ab 22. März 2000 3,50 % (Beschluss des EZB-Rates vom 16. März 2000);
"";Bemerkung zu 2000-05: Festsatz ab 4. Mai 2000 3,75 % (Beschluss des EZB-Rates vom 27. April 2000);
